run_name,split,shape_class,source_csv,mean_norm_l2,diag_mae,offdiag_mean_abs_corr,eig_ratio,kl_moment_to_std_normal,w2_moment_to_std_normal,eig_log_abs,n01_abs_gap,z_kl,z_w2,z_diag,z_eig_log_abs,n01_robust_gap,n01_similarity
lsv_stage2_vae_base_ld64_b0p1_s42_logvfixv2,ood_event,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.2963981662902081,0.103020679504878,0.02091040643538319,3.519250273182261,0.7380810134451097,0.9163071958692597,1.258247976351071,2.0204605431545763,4.0665644194731065,3.115136736153768,3.580919637654336,1.7299247857665485,9.404642170895679,8.233415679941282e-05
lsv_stage2_vae_base_ld64_b0p1_s44_logvfixv1,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.3085178420416242,0.050110408585943275,0.04627687824183872,5.721181017404112,1.3689469602183233,1.7876690938909205,1.74417525565353,3.617715072315598,8.9198776363491,7.755721062319695,0.9461301685044684,3.1716176638415043,17.941568198881402,1.6146408191310225e-08
lsv_stage3_vae_base_ld32_fmtC_b0p03_anneal_lmax6_s42,ood_event,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,1.0415866118151165,0.035488091263682436,0.07781319293842921,4.847011937573313,1.34712246971136,2.05812311227649,1.5783624197389585,3.817580232554431,8.751979703720462,9.196069419894386,0.21797801531877786,2.679669187570316,18.726955428166814,7.361843680344936e-09
lsv_stage3_vae_base_ld32_fmtC_b0p03_anneal_lmax6_s43,ood_event,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,1.0030794732608905,0.2760975797510783,0.19530713081332013,11.222001060548806,3.8010005432002076,5.5934342629650775,2.4178762318349962,10.136952653999574,27.629902894186912,28.023963491523,12.199684694073595,5.170414481149658,63.046312353034125,4.162310175566372e-28
lsv_stage3_vae_base_ld32_fmtC_b0p03_anneal_lmax6_s44,ood_event,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.8701642514659425,0.23594383009202952,0.19215488140977846,15.517670453914599,4.196047556462757,6.07739420276055,2.7419794038700926,11.076908525236844,30.669038071099145,30.601373539180656,10.200135742403402,6.131993002847886,67.90347773219347,3.235149232940765e-30
lsv_stage1_vae_base_ld64_b0p1_s42,test,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_20260218_181532/latent_shape_summary.csv,0.08828589323891735,0.01225525137970798,9.567495551219859e-05,1.0923371194300622,0.008027946948466945,0.011930714084352112,0.08831954710609068,0.04816617349919572,-0.7145705923431477,-0.7075685762359506,-1.1166144068561459,-2.1816063575184907,-2.525847961386794,0.9259341091231126
lsv_stage1_vae_base_ld64_b0p03_anneal_s42,test,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_20260219_175948/latent_shape_summary.csv,0.5363774458194432,0.01938144053408001,0.00017036296751804137,1.1720565823534317,0.15851722428272103,0.3021989014794455,0.15875996844801307,0.5100968381412098,-0.7012806835409221,-0.690760083708158,-1.0996808942701433,-2.130330815886547,-2.4744639183557884,0.9223321436279294
lsv_stage2_vae_base_ld64_b0p1_s43_logvfixv2,test,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.4164619669303844,0.03892507673200746,0.0013097255259957087,1.1915542935377528,0.1227100824471945,0.20904533551998114,0.17525858390226037,0.39503260230874454,-0.7044428599955643,-0.6961543056221001,-1.0532405876259083,-2.1183210148734717,-2.4567977131489864,0.9210571354326806
lsv_stage2_vae_base_ld64_b0p1_s42,test,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.3870602565504032,0.020604386795846613,0.011126377882098156,2.022016634799907,0.2297319288085628,0.32154135483095636,0.7040953474684484,0.7375993139045545,-0.6949916179989052,-0.6896400247532112,-1.0967748844145215,-1.7333660278055263,-2.366360591910759,0.9142258993534615
lsv_stage2_vae_base_ld64_b0p1_s43_logvfixv1,test,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.4022286007420377,0.06455562231581938,0.015454166211317974,2.92586466693689,0.46187493518025113,0.5831561168293762,1.0735900496270125,1.3457063755742902,-0.6744907594765952,-0.6744907594765952,-0.9923363431794479,-1.464400558514127,-2.2112498301714463,0.9012552103225872
